lambda2-lambda1 rms-sigma/3 rms-sigma/2 rms-sigma rms-2sigma rms-3sigma w-sigma/3 w-sigma/2 w-sigma w-2sigma w-3sigma
8.10000e-01 3.53973e-01 1.40436e-01 1.61358e-03 1.13025e-03 9.51776e-04 8.47670e-01 1.27278e+00 2.54556e+00 nan nan
8.20000e-01 3.47098e-01 1.34655e-01 2.42728e-03 1.56239e-03 1.37271e-03 8.58136e-01 1.28849e+00 2.57698e+00 nan nan
8.30000e-01 3.40363e-01 1.29153e-01 1.76106e-03 1.24551e-03 1.33701e-03 8.68601e-01 1.30421e+00 2.60841e+00 nan nan
8.40000e-01 3.33835e-01 1.23964e-01 2.82109e-03 1.83181e-03 1.78007e-03 8.79066e-01 1.31992e+00 2.63984e+00 nan nan
8.50000e-01 3.27238e-01 1.18657e-01 2.66820e-03 1.98583e-03 1.90437e-03 8.89531e-01 1.33563e+00 2.67126e+00 nan nan
8.60000e-01 3.21579e-01 1.14258e-01 1.93392e-03 1.30360e-03 1.55535e-03 8.99996e-01 1.35135e+00 2.70269e+00 nan nan
8.70000e-01 3.15413e-01 1.09486e-01 1.85971e-03 1.24508e-03 1.45659e-03 9.10461e-01 1.36706e+00 2.73412e+00 nan nan
8.80000e-01 3.09274e-01 1.04933e-01 1.98147e-03 2.15531e-03 2.22373e-03 9.20926e-01 1.38277e+00 2.76554e+00 nan nan
8.90000e-01 3.02504e-01 1.00042e-01 1.90571e-03 1.14217e-03 1.09510e-03 9.31391e-01 1.39849e+00 2.79697e+00 nan nan
9.00000e-01 2.96841e-01 9.59981e-02 1.77673e-03 1.48472e-03 1.54505e-03 9.41856e-01 1.41420e+00 2.82840e+00 nan nan
9.10000e-01 2.89859e-01 9.12519e-02 4.26554e-03 3.25427e-03 2.78139e-03 9.52321e-01 1.42991e+00 2.85982e+00 nan nan
9.20000e-01 2.84716e-01 8.75040e-02 2.05707e-03 2.34853e-03 1.93348e-03 9.62786e-01 1.44562e+00 2.89125e+00 nan nan
9.30000e-01 2.77886e-01 8.29993e-02 1.90783e-03 1.55690e-03 1.66413e-03 9.73251e-01 1.46134e+00 2.92268e+00 nan nan
9.40000e-01 2.72592e-01 7.97075e-02 2.70735e-03 2.41456e-03 2.17259e-03 9.83716e-01 1.47705e+00 2.95410e+00 nan nan
9.50000e-01 2.66113e-01 7.54295e-02 1.80556e-03 1.10254e-03 1.48846e-03 9.94181e-01 1.49276e+00 2.98553e+00 nan nan
9.60000e-01 2.61149e-01 7.26165e-02 1.65083e-03 1.21763e-03 1.37817e-03 1.00465e+00 1.50848e+00 3.01696e+00 nan nan
9.70000e-01 2.55113e-01 6.88834e-02 3.42142e-03 1.58191e-03 1.31974e-03 1.01511e+00 1.52419e+00 3.04838e+00 nan nan
9.80000e-01 2.49799e-01 6.58031e-02 2.36557e-03 1.85519e-03 1.79231e-03 1.02558e+00 1.53990e+00 3.07981e+00 nan nan
9.90000e-01 2.43970e-01 6.24136e-02 1.67777e-03 1.22444e-03 1.04240e-03 1.03604e+00 1.55562e+00 3.11124e+00 nan nan
1.00000e+00 2.39330e-01 5.97513e-02 1.84119e-03 1.52672e-03 1.29526e-03 1.04651e+00 1.57133e+00 3.14266e+00 nan nan
1.01000e+00 2.33021e-01 5.62685e-02 3.50104e-03 2.60952e-03 2.22145e-03 1.05697e+00 1.58704e+00 3.17409e+00 nan nan
1.02000e+00 2.28323e-01 5.39467e-02 2.43016e-03 2.25584e-03 2.18908e-03 1.06744e+00 1.60276e+00 3.20552e+00 nan nan
1.03000e+00 2.22705e-01 5.07504e-02 1.98406e-03 1.50138e-03 1.41048e-03 1.07790e+00 1.61847e+00 3.23694e+00 nan nan
1.04000e+00 2.18410e-01 4.90628e-02 4.03313e-03 2.78419e-03 2.13245e-03 1.08837e+00 1.63418e+00 3.26837e+00 nan nan
1.05000e+00 2.12909e-01 4.62444e-02 1.93125e-03 1.80733e-03 1.87388e-03 1.09883e+00 1.64990e+00 3.29980e+00 nan nan
1.06000e+00 2.07868e-01 4.38273e-02 1.89666e-03 1.14235e-03 1.51751e-03 1.10930e+00 1.66561e+00 3.33122e+00 nan nan
1.07000e+00 2.03203e-01 4.15673e-02 2.95758e-03 1.70819e-03 1.48708e-03 1.11976e+00 1.68132e+00 3.36265e+00 nan nan
1.08000e+00 1.97849e-01 3.89658e-02 2.53758e-03 1.46190e-03 1.20971e-03 1.13023e+00 1.69704e+00 3.39408e+00 nan nan
1.09000e+00 1.93126e-01 3.71525e-02 2.02061e-03 1.41953e-03 1.46349e-03 1.14069e+00 1.71275e+00 3.42550e+00 nan nan
1.10000e+00 1.88037e-01 3.47319e-02 2.03981e-03 1.36906e-03 1.16706e-03 1.15116e+00 1.72846e+00 3.45693e+00 nan nan
1.11000e+00 1.84467e-01 3.35278e-02 2.05699e-03 2.26563e-03 2.43344e-03 1.16162e+00 1.74418e+00 3.48836e+00 nan nan
1.12000e+00 1.79596e-01 3.16055e-02 1.96100e-03 1.37150e-03 1.22988e-03 1.17209e+00 1.75989e+00 3.51978e+00 nan nan
1.13000e+00 1.74960e-01 3.01397e-02 4.60920e-03 2.47080e-03 1.84635e-03 1.18255e+00 1.77560e+00 3.55121e+00 nan nan
1.14000e+00 1.71157e-01 2.84395e-02 3.14188e-03 1.93403e-03 1.70192e-03 1.19302e+00 1.79132e+00 3.58264e+00 nan nan
1.15000e+00 1.66171e-01 2.67489e-02 3.57024e-03 2.31134e-03 2.25944e-03 1.20348e+00 1.80703e+00 3.61406e+00 nan nan
1.16000e+00 1.62231e-01 2.53927e-02 2.75385e-03 1.64795e-03 1.53640e-03 1.21395e+00 1.82274e+00 3.64549e+00 nan nan
1.17000e+00 1.58970e-01 2.45967e-02 2.33793e-03 1.36886e-03 1.32220e-03 1.22441e+00 1.83846e+00 3.67692e+00 nan nan
1.18000e+00 1.54453e-01 2.26622e-02 2.25854e-03 1.65685e-03 1.37183e-03 1.23488e+00 1.85417e+00 3.70834e+00 nan nan
1.19000e+00 1.50336e-01 2.11978e-02 2.20492e-03 1.50639e-03 1.27225e-03 1.24534e+00 1.86988e+00 3.73977e+00 nan nan
1.20000e+00 1.45694e-01 1.95182e-02 2.49884e-03 2.13092e-03 1.86790e-03 1.25581e+00 1.88560e+00 3.77120e+00 nan nan
1.21000e+00 1.41947e-01 1.84898e-02 2.59444e-03 1.92197e-03 1.35734e-03 1.26627e+00 1.90131e+00 3.80262e+00 nan nan
1.22000e+00 1.39132e-01 1.81575e-02 2.13245e-03 1.77943e-03 1.88246e-03 1.27674e+00 1.91702e+00 3.83405e+00 nan nan
1.23000e+00 1.35131e-01 1.71162e-02 2.91650e-03 1.76722e-03 1.44624e-03 1.28720e+00 1.93274e+00 3.86548e+00 nan nan
1.24000e+00 1.31616e-01 1.57789e-02 2.15918e-03 1.48250e-03 1.50587e-03 1.29767e+00 1.94845e+00 3.89690e+00 nan nan
1.25000e+00 1.28040e-01 1.49150e-02 2.00841e-03 1.31214e-03 1.40498e-03 1.30813e+00 1.96416e+00 3.92833e+00 nan nan
1.26000e+00 1.24459e-01 1.40356e-02 2.83046e-03 2.11230e-03 2.03200e-03 1.31860e+00 1.97988e+00 3.95976e+00 nan nan
1.27000e+00 1.21599e-01 1.36167e-02 1.73302e-03 1.18216e-03 1.18811e-03 1.32906e+00 1.99559e+00 3.99118e+00 nan nan
1.28000e+00 1.17396e-01 1.23744e-02 1.83157e-03 1.35805e-03 1.25540e-03 1.33953e+00 2.01130e+00 4.02261e+00 nan nan
1.29000e+00 1.14075e-01 1.15053e-02 2.25142e-03 1.53141e-03 1.31642e-03 1.34999e+00 2.02702e+00 4.05404e+00 nan nan
1.30000e+00 1.10797e-01 1.09610e-02 1.79176e-03 1.58364e-03 1.40658e-03 1.36046e+00 2.04273e+00 4.08546e+00 nan nan
1.31000e+00 1.08588e-01 1.09255e-02 1.98936e-03 1.36625e-03 1.17475e-03 1.37092e+00 2.05844e+00 4.11689e+00 nan nan
1.32000e+00 1.04681e-01 9.72682e-03 1.92368e-03 1.25587e-03 1.18786e-03 1.38139e+00 2.07416e+00 4.14832e+00 nan nan
1.33000e+00 1.01643e-01 8.73399e-03 2.04768e-03 1.81529e-03 1.64070e-03 1.39185e+00 2.08987e+00 4.17974e+00 nan nan
1.34000e+00 9.86865e-02 8.11639e-03 1.45854e-03 1.16065e-03 1.37628e-03 1.40232e+00 2.10558e+00 4.21117e+00 nan nan
1.35000e+00 9.56918e-02 7.86592e-03 1.81312e-03 1.16924e-03 1.40403e-03 1.41278e+00 2.12130e+00 4.24260e+00 nan nan
1.36000e+00 9.32182e-02 7.88654e-03 2.61585e-03 1.99523e-03 1.99442e-03 1.42325e+00 2.13701e+00 4.27402e+00 nan nan
1.37000e+00 9.11959e-02 7.40391e-03 1.76937e-03 1.49798e-03 1.26066e-03 1.43371e+00 2.15272e+00 4.30545e+00 nan nan
1.38000e+00 8.81503e-02 6.85291e-03 2.06625e-03 1.66671e-03 1.43703e-03 1.44418e+00 2.16844e+00 4.33687e+00 nan nan
1.39000e+00 8.46767e-02 5.86110e-03 1.75133e-03 1.37111e-03 1.19930e-03 1.45464e+00 2.18415e+00 4.36830e+00 nan nan
1.40000e+00 8.23579e-02 6.35367e-03 2.27335e-03 1.38128e-03 1.19867e-03 1.46511e+00 2.19986e+00 4.39973e+00 nan nan
1.41000e+00 8.00360e-02 5.67540e-03 2.15154e-03 1.29067e-03 1.25029e-03 1.47557e+00 2.21558e+00 4.43115e+00 nan nan
1.42000e+00 7.74714e-02 5.81882e-03 2.23704e-03 1.81344e-03 1.44057e-03 1.48604e+00 2.23129e+00 4.46258e+00 nan nan
1.43000e+00 7.55927e-02 6.21496e-03 4.10043e-03 2.93547e-03 2.23459e-03 1.49650e+00 2.24700e+00 4.49401e+00 nan nan
1.44000e+00 7.36509e-02 6.42422e-03 2.69368e-03 1.50150e-03 1.44193e-03 1.50697e+00 2.26272e+00 4.52543e+00 nan nan
1.45000e+00 7.09552e-02 4.71147e-03 2.01887e-03 1.82325e-03 1.90199e-03 1.51743e+00 2.27843e+00 4.55686e+00 nan nan
1.46000e+00 6.88207e-02 4.67851e-03 1.70772e-03 1.07035e-03 1.26128e-03 1.52790e+00 2.29414e+00 4.58829e+00 nan nan
1.47000e+00 6.70279e-02 5.18408e-03 2.26057e-03 1.44587e-03 1.71926e-03 1.53836e+00 2.30986e+00 4.61971e+00 nan nan
1.48000e+00 6.47291e-02 6.36200e-03 3.73412e-03 1.89794e-03 1.49060e-03 1.54883e+00 2.32557e+00 4.65114e+00 nan nan
1.49000e+00 6.21482e-02 5.50649e-03 3.81350e-03 2.34436e-03 1.44117e-03 1.55930e+00 2.34128e+00 4.68257e+00 nan nan
1.50000e+00 6.03240e-02 3.79695e-03 1.86760e-03 1.55727e-03 1.19563e-03 1.56976e+00 2.35700e+00 4.71399e+00 nan nan
1.51000e+00 5.79873e-02 3.33035e-03 1.88574e-03 1.93104e-03 2.16400e-03 1.58023e+00 2.37271e+00 4.74542e+00 nan nan
1.52000e+00 5.63292e-02 3.16435e-03 1.68514e-03 1.27589e-03 1.35247e-03 1.59069e+00 2.38842e+00 4.77685e+00 nan nan
1.53000e+00 5.46918e-02 3.49808e-03 2.01791e-03 1.53683e-03 1.70051e-03 1.60116e+00 2.40414e+00 4.80827e+00 nan nan
1.54000e+00 5.29803e-02 3.24333e-03 2.19145e-03 1.65589e-03 1.62587e-03 1.61162e+00 2.41985e+00 4.83970e+00 nan nan
1.55000e+00 5.07433e-02 2.89470e-03 1.86978e-03 1.51694e-03 1.62267e-03 1.62209e+00 2.43556e+00 4.87113e+00 nan nan
1.56000e+00 4.94977e-02 4.89891e-03 2.34758e-03 1.36704e-03 1.42602e-03 1.63255e+00 2.45128e+00 4.90255e+00 nan nan
1.57000e+00 4.76985e-02 2.75582e-03 1.79335e-03 1.36477e-03 1.36220e-03 1.64302e+00 2.46699e+00 4.93398e+00 nan nan
1.58000e+00 4.62982e-02 3.45862e-03 2.12957e-03 1.47447e-03 1.04883e-03 1.65348e+00 2.48270e+00 4.96541e+00 nan nan
1.59000e+00 4.56251e-02 7.48283e-03 5.32213e-03 3.76925e-03 2.80547e-03 1.66395e+00 2.49842e+00 4.99683e+00 nan nan
1.60000e+00 4.37199e-02 2.76853e-03 2.10897e-03 1.75474e-03 1.38509e-03 1.67441e+00 2.51413e+00 nan nan nan
1.61000e+00 4.19274e-02 4.96250e-03 4.22328e-03 2.21475e-03 1.45260e-03 1.68488e+00 2.52984e+00 nan nan nan
1.62000e+00 4.04759e-02 2.76099e-03 1.98855e-03 1.35382e-03 1.27276e-03 1.69534e+00 2.54556e+00 nan nan nan
1.63000e+00 3.88325e-02 2.83116e-03 2.99460e-03 2.34570e-03 2.01381e-03 1.70581e+00 2.56127e+00 nan nan nan
1.64000e+00 3.79919e-02 4.14989e-03 2.24796e-03 1.26924e-03 1.46912e-03 1.71627e+00 2.57698e+00 nan nan nan
1.65000e+00 3.70033e-02 4.45327e-03 3.07553e-03 1.58284e-03 1.46723e-03 1.72674e+00 2.59270e+00 nan nan nan
1.66000e+00 3.52652e-02 2.38832e-03 1.67756e-03 1.24666e-03 1.20961e-03 1.73720e+00 2.60841e+00 nan nan nan
1.67000e+00 3.40601e-02 5.86234e-03 2.83207e-03 1.21129e-03 1.05321e-03 1.74767e+00 2.62412e+00 nan nan nan
1.68000e+00 3.30271e-02 2.79644e-03 2.32756e-03 1.91403e-03 1.51715e-03 1.75813e+00 2.63984e+00 nan nan nan
1.69000e+00 3.18254e-02 2.54916e-03 1.50000e-03 1.46467e-03 1.56408e-03 1.76860e+00 2.65555e+00 nan nan nan
1.70000e+00 3.10472e-02 3.26520e-03 2.73849e-03 2.40173e-03 2.00760e-03 1.77906e+00 2.67126e+00 nan nan nan
1.71000e+00 2.99498e-02 2.43342e-03 1.49142e-03 1.31916e-03 1.26893e-03 1.78953e+00 2.68698e+00 nan nan nan
1.72000e+00 2.87059e-02 2.81572e-03 1.99623e-03 1.34166e-03 1.23678e-03 1.79999e+00 2.70269e+00 nan nan nan
1.73000e+00 2.79523e-02 2.97946e-03 1.90814e-03 1.25346e-03 1.33196e-03 1.81046e+00 2.71840e+00 nan nan nan
1.74000e+00 2.67619e-02 2.44454e-03 1.65951e-03 1.63343e-03 1.84712e-03 1.82092e+00 2.73412e+00 nan nan nan
1.75000e+00 2.59459e-02 4.57417e-03 3.43027e-03 1.86403e-03 1.43982e-03 1.83139e+00 2.74983e+00 nan nan nan
1.76000e+00 2.54385e-02 2.48441e-03 1.94076e-03 1.24194e-03 1.19735e-03 1.84185e+00 2.76554e+00 nan nan nan
1.77000e+00 2.38834e-02 3.35809e-03 1.88822e-03 1.29151e-03 1.24140e-03 1.85232e+00 2.78126e+00 nan nan nan
1.78000e+00 2.36740e-02 4.45347e-03 3.19377e-03 2.50866e-03 2.18547e-03 1.86278e+00 2.79697e+00 nan nan nan
1.79000e+00 2.34616e-02 4.30538e-03 2.82493e-03 1.89063e-03 1.56951e-03 1.87325e+00 2.81268e+00 nan nan nan
1.80000e+00 2.20021e-02 2.83715e-03 1.95655e-03 1.57939e-03 1.50975e-03 1.88371e+00 2.82840e+00 nan nan nan
1.81000e+00 2.11809e-02 2.94640e-03 1.95061e-03 1.22829e-03 1.15303e-03 1.89418e+00 2.84411e+00 nan nan nan
1.82000e+00 2.07049e-02 3.03615e-03 2.11373e-03 1.95182e-03 2.06460e-03 1.90464e+00 2.85982e+00 nan nan nan
1.83000e+00 2.01816e-02 2.66162e-03 2.13206e-03 2.14352e-03 2.07980e-03 1.91511e+00 2.87554e+00 nan nan nan
1.84000e+00 1.98212e-02 3.23775e-03 2.08304e-03 1.57414e-03 1.52860e-03 1.92557e+00 2.89125e+00 nan nan nan
1.85000e+00 1.79778e-02 2.58028e-03 1.68832e-03 1.15459e-03 1.28056e-03 1.93604e+00 2.90696e+00 nan nan nan
1.86000e+00 1.81392e-02 3.33770e-03 2.28989e-03 1.61546e-03 1.50145e-03 1.94650e+00 2.92268e+00 nan nan nan
1.87000e+00 1.77890e-02 2.77287e-03 1.93036e-03 1.51856e-03 1.40775e-03 1.95697e+00 2.93839e+00 nan nan nan
1.88000e+00 1.71034e-02 2.48470e-03 1.66433e-03 1.14134e-03 1.06919e-03 1.96743e+00 2.95410e+00 nan nan nan
1.89000e+00 1.71151e-02 3.70550e-03 2.18128e-03 1.26543e-03 1.02635e-03 1.97790e+00 2.96982e+00 nan nan nan
1.90000e+00 1.71252e-02 5.44971e-03 3.39630e-03 1.50202e-03 1.07984e-03 1.98836e+00 2.98553e+00 nan nan nan
1.91000e+00 1.65648e-02 3.83294e-03 2.45794e-03 1.84156e-03 1.62827e-03 1.99883e+00 3.00124e+00 nan nan nan
1.92000e+00 1.54277e-02 2.52865e-03 1.80009e-03 1.29513e-03 1.17022e-03 2.00929e+00 3.01696e+00 nan nan nan
1.93000e+00 1.40470e-02 2.87799e-03 2.02246e-03 1.41714e-03 1.33768e-03 2.01976e+00 3.03267e+00 nan nan nan
1.94000e+00 1.53524e-02 3.02885e-03 2.14968e-03 1.44200e-03 1.36526e-03 2.03022e+00 3.04838e+00 nan nan nan
1.95000e+00 1.41413e-02 2.43302e-03 2.14487e-03 1.54038e-03 1.28893e-03 2.04069e+00 3.06410e+00 nan nan nan
1.96000e+00 1.32526e-02 2.40788e-03 2.01782e-03 1.88794e-03 1.67925e-03 2.05115e+00 3.07981e+00 nan nan nan
1.97000e+00 1.48130e-02 4.98429e-03 3.96006e-03 3.01343e-03 2.15063e-03 2.06162e+00 3.09552e+00 nan nan nan
1.98000e+00 1.30472e-02 2.69557e-03 1.81476e-03 1.22766e-03 1.01187e-03 2.07208e+00 3.11124e+00 nan nan nan
1.99000e+00 1.32276e-02 3.57333e-03 3.03016e-03 2.47864e-03 2.14137e-03 2.08255e+00 3.12695e+00 nan nan nan
2.00000e+00 1.26338e-02 2.97976e-03 1.89337e-03 1.23253e-03 1.21991e-03 2.09301e+00 3.14266e+00 nan nan nan
2.01000e+00 1.24211e-02 2.57226e-03 2.58418e-03 2.27696e-03 1.90551e-03 2.10348e+00 3.15838e+00 nan nan nan
2.02000e+00 1.25837e-02 4.31897e-03 3.23139e-03 2.67963e-03 2.38376e-03 2.11394e+00 3.17409e+00 nan nan nan
2.03000e+00 1.24782e-02 2.96310e-03 2.37690e-03 1.63275e-03 1.43492e-03 2.12441e+00 3.18980e+00 nan nan nan
2.04000e+00 1.30071e-02 4.51938e-03 2.89120e-03 2.35824e-03 1.88053e-03 2.13487e+00 3.20552e+00 nan nan nan
2.05000e+00 1.12850e-02 2.58823e-03 1.81095e-03 1.63195e-03 1.72109e-03 2.14534e+00 3.22123e+00 nan nan nan
2.06000e+00 1.35690e-02 6.28480e-03 4.17261e-03 1.82932e-03 1.27598e-03 2.15580e+00 3.23694e+00 nan nan nan
2.07000e+00 1.12742e-02 2.75333e-03 1.97349e-03 1.28570e-03 1.23297e-03 2.16627e+00 3.25266e+00 nan nan nan
2.08000e+00 1.13204e-02 2.32047e-03 1.63833e-03 1.32089e-03 1.27024e-03 2.17673e+00 3.26837e+00 nan nan nan
2.09000e+00 1.09682e-02 2.96743e-03 2.71226e-03 2.49086e-03 1.81826e-03 2.18720e+00 3.28408e+00 nan nan nan
2.10000e+00 1.08579e-02 2.54839e-03 1.79367e-03 1.37218e-03 1.20608e-03 2.19766e+00 3.29980e+00 nan nan nan
2.11000e+00 1.09705e-02 2.53812e-03 1.60789e-03 1.40710e-03 1.53362e-03 2.20813e+00 3.31551e+00 nan nan nan
2.12000e+00 1.07873e-02 3.04437e-03 1.86672e-03 1.27873e-03 1.24937e-03 2.21859e+00 3.33122e+00 nan nan nan
2.13000e+00 1.02466e-02 3.05533e-03 2.38536e-03 1.82139e-03 1.72913e-03 2.22906e+00 3.34694e+00 nan nan nan
2.14000e+00 1.05305e-02 4.03055e-03 2.48384e-03 1.33508e-03 1.18964e-03 2.23952e+00 3.36265e+00 nan nan nan
2.15000e+00 1.09355e-02 3.22585e-03 2.16490e-03 1.32873e-03 1.29282e-03 2.24999e+00 3.37836e+00 nan nan nan
2.16000e+00 9.54385e-03 2.63814e-03 2.26956e-03 1.57489e-03 1.34800e-03 2.26045e+00 3.39408e+00 nan nan nan
2.17000e+00 1.04502e-02 3.34917e-03 2.58223e-03 1.90891e-03 1.54226e-03 2.27092e+00 3.40979e+00 nan nan nan
2.18000e+00 1.08984e-02 6.12910e-03 4.90450e-03 3.20729e-03 2.51766e-03 2.28138e+00 3.42550e+00 nan nan nan
2.19000e+00 1.10717e-02 4.70089e-03 2.09745e-03 1.34113e-03 1.16171e-03 2.29185e+00 3.44122e+00 nan nan nan
2.20000e+00 1.06609e-02 4.62886e-03 3.82650e-03 2.39902e-03 1.68304e-03 2.30231e+00 3.45693e+00 nan nan nan
2.21000e+00 1.01092e-02 3.26228e-03 2.02101e-03 1.27388e-03 1.08558e-03 2.31278e+00 3.47264e+00 nan nan nan
2.22000e+00 1.03908e-02 4.03284e-03 3.27214e-03 1.83426e-03 1.44860e-03 2.32325e+00 3.48836e+00 nan nan nan
2.23000e+00 9.27386e-03 2.81618e-03 2.40013e-03 2.10693e-03 2.17445e-03 2.33371e+00 3.50407e+00 nan nan nan
2.24000e+00 1.01001e-02 3.60323e-03 3.72630e-03 3.20743e-03 2.63262e-03 2.34418e+00 3.51978e+00 nan nan nan
2.25000e+00 9.82113e-03 2.48791e-03 1.80948e-03 1.29396e-03 1.30409e-03 2.35464e+00 3.53550e+00 nan nan nan
2.26000e+00 9.75462e-03 2.40783e-03 2.13023e-03 1.44672e-03 1.23686e-03 2.36511e+00 3.55121e+00 nan nan nan
2.27000e+00 9.94381e-03 3.62689e-03 2.11409e-03 1.35941e-03 1.32855e-03 2.37557e+00 3.56692e+00 nan nan nan
2.28000e+00 1.08621e-02 5.18191e-03 2.97644e-03 1.62558e-03 1.12046e-03 2.38604e+00 3.58264e+00 nan nan nan
2.29000e+00 1.00913e-02 3.95615e-03 2.38453e-03 1.44169e-03 1.10561e-03 2.39650e+00 3.59835e+00 nan nan nan
2.30000e+00 1.00460e-02 3.51770e-03 3.70955e-03 2.59470e-03 2.28424e-03 2.40697e+00 3.61406e+00 nan nan nan
2.31000e+00 9.93473e-03 3.75845e-03 2.98059e-03 1.40283e-03 1.14141e-03 2.41743e+00 3.62978e+00 nan nan nan
2.32000e+00 1.00903e-02 2.66031e-03 1.46694e-03 1.12486e-03 1.02613e-03 2.42790e+00 3.64549e+00 nan nan nan
2.33000e+00 9.82110e-03 2.65377e-03 1.87759e-03 1.26026e-03 1.27794e-03 2.43836e+00 3.66120e+00 nan nan nan
2.34000e+00 9.77970e-03 3.19622e-03 1.98702e-03 1.41212e-03 1.22331e-03 2.44883e+00 3.67692e+00 nan nan nan
2.35000e+00 9.12592e-03 2.38766e-03 1.66045e-03 1.27383e-03 1.28442e-03 2.45929e+00 3.69263e+00 nan nan nan
2.36000e+00 9.76909e-03 2.98072e-03 2.20967e-03 1.64916e-03 1.37323e-03 2.46976e+00 3.70834e+00 nan nan nan
2.37000e+00 9.43295e-03 2.48500e-03 1.70947e-03 1.18504e-03 1.06389e-03 2.48022e+00 3.72406e+00 nan nan nan
2.38000e+00 1.07774e-02 4.86312e-03 3.56013e-03 1.85057e-03 1.10972e-03 2.49069e+00 3.73977e+00 nan nan nan
2.39000e+00 9.12455e-03 2.36734e-03 2.67563e-03 2.03083e-03 1.27793e-03 2.50115e+00 3.75548e+00 nan nan nan
2.40000e+00 9.83449e-03 3.66411e-03 2.42845e-03 1.65512e-03 1.35629e-03 2.51162e+00 3.77120e+00 nan nan nan
2.41000e+00 9.60851e-03 4.01842e-03 2.95066e-03 2.10497e-03 1.69952e-03 2.52208e+00 3.78691e+00 nan nan nan
2.42000e+00 1.02858e-02 4.67794e-03 3.39609e-03 2.02481e-03 1.59323e-03 2.53255e+00 3.80262e+00 nan nan nan
2.43000e+00 9.42578e-03 3.48964e-03 2.43938e-03 2.08754e-03 1.76179e-03 2.54301e+00 3.81834e+00 nan nan nan
2.44000e+00 9.17387e-03 2.17964e-03 1.61467e-03 1.44458e-03 1.30758e-03 2.55348e+00 3.83405e+00 nan nan nan
2.45000e+00 9.51635e-03 3.59335e-03 2.45795e-03 1.31527e-03 1.21231e-03 2.56394e+00 3.84976e+00 nan nan nan
2.46000e+00 9.44020e-03 3.65150e-03 1.84907e-03 1.32771e-03 1.18270e-03 2.57441e+00 3.86548e+00 nan nan nan
2.47000e+00 9.30889e-03 2.55311e-03 1.67371e-03 1.25816e-03 1.09355e-03 2.58487e+00 3.88119e+00 nan nan nan
2.48000e+00 9.99141e-03 3.59602e-03 1.84004e-03 9.99969e-04 8.90856e-04 2.59534e+00 3.89690e+00 nan nan nan
2.49000e+00 8.68436e-03 2.62411e-03 1.61103e-03 9.88719e-04 9.11729e-04 2.60580e+00 3.91262e+00 nan nan nan
2.50000e+00 9.27660e-03 2.54958e-03 1.81696e-03 1.26379e-03 1.08759e-03 2.61627e+00 3.92833e+00 nan nan nan
2.51000e+00 9.11662e-03 2.72781e-03 1.86595e-03 1.42384e-03 1.25280e-03 2.62673e+00 3.94404e+00 nan nan nan
2.52000e+00 8.86589e-03 3.17577e-03 2.28704e-03 1.21372e-03 1.19902e-03 2.63720e+00 3.95976e+00 nan nan nan
2.53000e+00 8.64093e-03 2.71155e-03 1.95871e-03 1.15853e-03 1.23882e-03 2.64766e+00 3.97547e+00 nan nan nan
2.54000e+00 9.69588e-03 2.95250e-03 1.92914e-03 1.62044e-03 1.54339e-03 2.65813e+00 3.99118e+00 nan nan nan
2.55000e+00 9.31593e-03 2.90121e-03 1.84311e-03 1.33994e-03 1.37369e-03 2.66859e+00 4.00690e+00 nan nan nan
2.56000e+00 9.10928e-03 2.22998e-03 2.23125e-03 1.89232e-03 1.64927e-03 2.67906e+00 4.02261e+00 nan nan nan
2.57000e+00 9.47575e-03 4.35645e-03 3.56828e-03 2.07403e-03 1.61081e-03 2.68952e+00 4.03832e+00 nan nan nan
2.58000e+00 9.02782e-03 3.60466e-03 2.27935e-03 1.60995e-03 1.38323e-03 2.69999e+00 4.05404e+00 nan nan nan
2.59000e+00 9.16865e-03 2.30453e-03 1.73563e-03 1.33083e-03 1.07713e-03 2.71045e+00 4.06975e+00 nan nan nan
2.60000e+00 9.58606e-03 3.43392e-03 2.21684e-03 1.35096e-03 1.16262e-03 2.72092e+00 4.08546e+00 nan nan nan
2.61000e+00 9.63087e-03 3.00147e-03 2.10598e-03 1.33417e-03 1.10071e-03 2.73138e+00 4.10118e+00 nan nan nan
2.62000e+00 9.46527e-03 3.19295e-03 3.21556e-03 2.49432e-03 2.02781e-03 2.74185e+00 4.11689e+00 nan nan nan
2.63000e+00 9.94074e-03 2.56870e-03 1.86177e-03 1.33322e-03 1.32194e-03 2.75231e+00 4.13260e+00 nan nan nan
2.64000e+00 9.80687e-03 4.78984e-03 4.08440e-03 2.53766e-03 2.00918e-03 2.76278e+00 4.14832e+00 nan nan nan
2.65000e+00 1.05826e-02 5.16713e-03 3.10175e-03 1.73154e-03 1.33240e-03 2.77324e+00 4.16403e+00 nan nan nan
2.66000e+00 1.06954e-02 5.08782e-03 3.64390e-03 1.95501e-03 1.43078e-03 2.78371e+00 4.17974e+00 nan nan nan
2.67000e+00 1.01082e-02 4.40585e-03 3.53527e-03 2.09758e-03 1.52571e-03 2.79417e+00 4.19546e+00 nan nan nan
2.68000e+00 9.22284e-03 2.93658e-03 2.06631e-03 1.29271e-03 1.09973e-03 2.80464e+00 4.21117e+00 nan nan nan
2.69000e+00 1.00614e-02 4.27072e-03 2.48130e-03 1.54684e-03 1.22303e-03 2.81510e+00 4.22688e+00 nan nan nan
