lambda2-lambda1 rms-sigma/3 rms-sigma/2 rms-sigma rms-2sigma rms-3sigma w-sigma/3 w-sigma/2 w-sigma w-2sigma w-3sigma
-4.90000e-01 6.75997e-01 4.11657e-01 6.43911e-02 1.44285e-03 1.98346e-03 nan nan nan nan nan
-4.80000e-01 6.82227e-01 4.21907e-01 7.08980e-02 1.37446e-03 1.64106e-03 nan nan nan nan nan
-4.70000e-01 6.87604e-01 4.32747e-01 7.84391e-02 1.49824e-03 1.54969e-03 nan nan nan nan nan
-4.60000e-01 6.93498e-01 4.43500e-01 8.61191e-02 1.37580e-03 1.32240e-03 nan nan nan nan nan
-4.50000e-01 7.00783e-01 4.54977e-01 9.44968e-02 1.17086e-03 9.83910e-04 nan nan nan nan nan
-4.40000e-01 7.07658e-01 4.66487e-01 1.03840e-01 1.70503e-03 1.38779e-03 nan nan nan nan nan
-4.30000e-01 7.11814e-01 4.77243e-01 1.13346e-01 1.49502e-03 2.13990e-03 nan nan nan nan nan
-4.20000e-01 7.18531e-01 4.89105e-01 1.23784e-01 1.68514e-03 2.45661e-03 nan nan nan nan nan
-4.10000e-01 7.24699e-01 5.00388e-01 1.34805e-01 1.16031e-03 2.54244e-03 nan nan nan nan nan
-4.00000e-01 7.32563e-01 5.12289e-01 1.46463e-01 1.82658e-03 2.72582e-03 nan nan nan nan nan
-3.90000e-01 7.37795e-01 5.23630e-01 1.58412e-01 2.00916e-03 2.78195e-03 nan nan nan nan nan
-3.80000e-01 7.44019e-01 5.35618e-01 1.71656e-01 1.66079e-03 2.29882e-03 nan nan nan nan nan
-3.70000e-01 7.48435e-01 5.46636e-01 1.85122e-01 2.62617e-03 2.05901e-03 nan nan nan nan nan
-3.60000e-01 7.57007e-01 5.59186e-01 1.99532e-01 1.47672e-03 1.18157e-03 nan nan nan nan nan
-3.50000e-01 7.62206e-01 5.70811e-01 2.14538e-01 1.29872e-03 1.86006e-03 nan nan nan nan nan
-3.40000e-01 7.68099e-01 5.82480e-01 2.30063e-01 2.11960e-03 3.08677e-03 nan nan nan nan nan
-3.30000e-01 7.74413e-01 5.94243e-01 2.46636e-01 2.71462e-03 3.93719e-03 nan nan nan nan nan
-3.20000e-01 7.82146e-01 6.07185e-01 2.63629e-01 4.48560e-03 4.54700e-03 nan nan nan nan nan
-3.10000e-01 7.86989e-01 6.18221e-01 2.80845e-01 7.02557e-03 4.67487e-03 nan nan nan nan nan
-3.00000e-01 7.93850e-01 6.30704e-01 2.99689e-01 1.10727e-02 4.51323e-03 nan nan nan nan nan
-2.90000e-01 7.98646e-01 6.42374e-01 3.18601e-01 1.59144e-02 4.01458e-03 nan nan nan nan nan
-2.80000e-01 8.06107e-01 6.54340e-01 3.37977e-01 2.20143e-02 1.48626e-03 nan nan nan nan nan
-2.70000e-01 8.13445e-01 6.67014e-01 3.58407e-01 3.01430e-02 2.40123e-03 nan nan nan nan nan
-2.60000e-01 8.17192e-01 6.77997e-01 3.78648e-01 3.94383e-02 4.83583e-03 nan nan nan nan nan
-2.50000e-01 8.23687e-01 6.89926e-01 4.00068e-01 5.12067e-02 7.98201e-03 nan nan nan nan nan
-2.40000e-01 8.32112e-01 7.02725e-01 4.22237e-01 6.54298e-02 1.08092e-02 nan nan nan nan nan
-2.30000e-01 8.35631e-01 7.13489e-01 4.44325e-01 8.18647e-02 1.26179e-02 nan nan nan nan nan
-2.20000e-01 8.41642e-01 7.25191e-01 4.66958e-01 1.00531e-01 1.33814e-02 nan nan nan nan nan
-2.10000e-01 8.45966e-01 7.36641e-01 4.89800e-01 1.22003e-01 1.15335e-02 nan nan nan nan nan
-2.00000e-01 8.52318e-01 7.48379e-01 5.12930e-01 1.46050e-01 6.87500e-03 nan nan nan nan nan
-1.90000e-01 8.57129e-01 7.59484e-01 5.36821e-01 1.73196e-01 2.23669e-03 nan nan nan nan nan
-1.80000e-01 8.61628e-01 7.70163e-01 5.60199e-01 2.02653e-01 1.48401e-02 nan nan nan nan nan
-1.70000e-01 8.68273e-01 7.82305e-01 5.84856e-01 2.35344e-01 3.32424e-02 nan nan nan nan nan
-1.60000e-01 8.71249e-01 7.91932e-01 6.08157e-01 2.69905e-01 5.68034e-02 nan nan nan nan nan
-1.50000e-01 8.74778e-01 8.01947e-01 6.32365e-01 3.07479e-01 8.67241e-02 nan nan nan nan nan
-1.40000e-01 8.80776e-01 8.13010e-01 6.56515e-01 3.47192e-01 1.22576e-01 nan nan nan nan nan
-1.30000e-01 8.83365e-01 8.22736e-01 6.80261e-01 3.89214e-01 1.64814e-01 nan nan nan nan nan
-1.20000e-01 8.86845e-01 8.31934e-01 7.03802e-01 4.32591e-01 2.12345e-01 nan nan nan nan nan
-1.10000e-01 8.92405e-01 8.40785e-01 7.26545e-01 4.77690e-01 2.65612e-01 nan nan nan nan nan
-1.00000e-01 8.97143e-01 8.50718e-01 7.49596e-01 5.23616e-01 3.23406e-01 nan nan nan nan nan
-9.00000e-02 8.99811e-01 8.58211e-01 7.71428e-01 5.70629e-01 3.85611e-01 nan nan nan nan nan
-8.00000e-02 3.91681e+00 8.65077e-01 7.94013e-01 6.18331e-01 4.51126e-01 nan nan nan nan nan
-7.00000e-02 8.99482e-01 8.71061e-01 8.13410e-01 6.64879e-01 5.18444e-01 nan nan nan nan nan
