time temperature
5.83868e-02 1.05356e+01
1.79172e+00 1.38157e+01
3.52505e+00 1.56305e+01
5.25839e+00 1.68970e+01
6.97505e+00 1.70355e+01
8.72505e+00 1.64532e+01
1.04584e+01 1.59679e+01
1.22084e+01 1.55178e+01
1.39417e+01 1.51068e+01
1.56584e+01 1.47203e+01
1.73917e+01 1.43588e+01
1.91251e+01 1.40235e+01
2.08751e+01 1.37121e+01
2.26084e+01 1.34242e+01
2.43751e+01 1.31609e+01
2.61084e+01 1.29211e+01
2.78584e+01 1.27057e+01
2.95917e+01 1.25049e+01
