frequency fft p
8.30000e+01 -3.06001e+01 -8.91826e+01
8.40000e+01 -3.06874e+01 -9.47898e+01
8.50000e+01 -3.40096e+01 -1.00571e+02
8.60000e+01 -2.93733e+01 -1.06525e+02
8.70000e+01 -3.78508e+01 -1.12653e+02
8.80000e+01 -2.87231e+01 -1.18954e+02
8.90000e+01 -4.23083e+01 -1.25429e+02
9.00000e+01 -2.87558e+01 -1.32078e+02
9.10000e+01 -4.72669e+01 -1.38900e+02
9.20000e+01 -2.95362e+01 -1.45896e+02
9.30000e+01 -4.90998e+01 -1.53066e+02
9.40000e+01 -3.12305e+01 -1.60409e+02
9.50000e+01 -4.55189e+01 -1.67926e+02
9.60000e+01 -3.42366e+01 -1.75616e+02
9.70000e+01 -4.15490e+01 -1.83480e+02
9.80000e+01 -3.95104e+01 -1.91517e+02
9.90000e+01 -3.82697e+01 -1.99728e+02
1.00000e+02 -4.44181e+01 -2.08113e+02
