time theta u w c-inband-real c-inband-imaginary c-outofband-real c-outofband-imaginary d-inband-real d-inband-imaginary d-outofband-real d-outofband-imaginary q-inband-real q-inband-imaginary q-outofband-reak q-outofband-imaginary
0.727 -29.687 -0.358 0.000 -0.157 -0.988 -0.951 0.310 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.728 -29.714 -0.382 0.000 -0.131 -0.991 -0.966 0.260 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.729 -29.739 -0.406 0.000 -0.106 -0.994 -0.978 0.210 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.730 -29.763 -0.428 0.000 -0.082 -0.997 -0.987 0.163 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.731 -29.786 -0.448 0.000 -0.059 -0.998 -0.993 0.117 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.732 -29.808 -0.468 0.000 -0.037 -0.999 -0.997 0.074 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.733 -29.829 -0.486 0.000 -0.016 -1.000 -0.999 0.032 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.734 -29.849 -0.503 0.000 0.003 -1.000 -1.000 -0.007 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.735 -29.867 -0.519 0.000 0.022 -1.000 -0.999 -0.043 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.736 -29.884 -0.533 0.000 0.039 -0.999 -0.997 -0.078 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.737 -29.900 -0.547 0.000 0.055 -0.998 -0.994 -0.109 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.738 -29.915 -0.559 0.000 0.070 -0.998 -0.990 -0.139 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.739 -29.928 -0.570 0.000 0.083 -0.997 -0.986 -0.166 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.740 -29.941 -0.580 0.000 0.096 -0.995 -0.982 -0.190 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.741 -29.952 -0.590 0.000 0.107 -0.994 -0.977 -0.212 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.742 -29.962 -0.598 0.000 0.117 -0.993 -0.973 -0.232 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.743 -29.971 -0.605 0.000 0.126 -0.992 -0.968 -0.249 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.744 -29.979 -0.611 0.000 0.133 -0.991 -0.965 -0.264 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.745 -29.985 -0.616 0.000 0.140 -0.990 -0.961 -0.276 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.746 -29.991 -0.620 0.000 0.145 -0.989 -0.958 -0.287 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.747 -29.995 -0.623 0.000 0.149 -0.989 -0.956 -0.295 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.748 -29.998 -0.626 0.000 0.152 -0.988 -0.954 -0.300 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.749 -29.999 -0.627 0.000 0.154 -0.988 -0.953 -0.304 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.750 -30.000 -0.628 0.000 0.154 -0.988 -0.952 -0.305 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.751 -29.999 -0.627 0.000 0.154 -0.988 -0.953 -0.304 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.752 -29.998 -0.626 0.000 0.152 -0.988 -0.954 -0.300 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.753 -29.995 -0.623 0.000 0.149 -0.989 -0.956 -0.295 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.754 -29.991 -0.620 0.000 0.145 -0.989 -0.958 -0.287 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.755 -29.985 -0.616 0.000 0.140 -0.990 -0.961 -0.276 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.756 -29.979 -0.611 0.000 0.133 -0.991 -0.965 -0.264 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.757 -29.971 -0.605 0.000 0.126 -0.992 -0.968 -0.249 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.758 -29.962 -0.598 0.000 0.117 -0.993 -0.973 -0.232 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.759 -29.952 -0.590 0.000 0.107 -0.994 -0.977 -0.212 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.760 -29.941 -0.580 0.000 0.096 -0.995 -0.982 -0.190 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.761 -29.928 -0.570 0.000 0.083 -0.997 -0.986 -0.166 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.762 -29.915 -0.559 0.000 0.070 -0.998 -0.990 -0.139 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.763 -29.900 -0.547 0.000 0.055 -0.998 -0.994 -0.109 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.764 -29.884 -0.533 0.000 0.039 -0.999 -0.997 -0.078 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.765 -29.867 -0.519 0.000 0.022 -1.000 -0.999 -0.043 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.766 -29.849 -0.503 0.000 0.003 -1.000 -1.000 -0.007 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.767 -29.829 -0.486 0.000 -0.016 -1.000 -0.999 0.032 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.768 -29.808 -0.468 0.000 -0.037 -0.999 -0.997 0.074 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.769 -29.786 -0.448 0.000 -0.059 -0.998 -0.993 0.117 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.770 -29.763 -0.428 0.000 -0.082 -0.997 -0.987 0.163 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.771 -29.739 -0.406 0.000 -0.106 -0.994 -0.978 0.210 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.772 -29.714 -0.382 0.000 -0.131 -0.991 -0.966 0.260 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.773 -29.687 -0.358 0.000 -0.157 -0.988 -0.951 0.310 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.774 -29.660 -0.332 0.000 -0.185 -0.983 -0.932 0.363 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.775 -29.631 -0.304 0.000 -0.213 -0.977 -0.909 0.416 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.776 -29.601 -0.275 0.000 -0.242 -0.970 -0.883 0.470 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.777 -29.569 -0.245 0.000 -0.272 -0.962 -0.852 0.524 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.778 -29.537 -0.214 0.000 -0.303 -0.953 -0.816 0.578 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.779 -29.503 -0.181 0.000 -0.335 -0.942 -0.775 0.632 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.780 -29.469 -0.147 0.000 -0.368 -0.930 -0.730 0.684 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.781 -29.433 -0.111 0.000 -0.401 -0.916 -0.679 0.734 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.782 -29.396 -0.074 0.000 -0.434 -0.901 -0.622 0.783 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.783 -29.357 -0.036 0.000 -0.469 -0.883 -0.561 0.828 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.784 -29.318 0.003 0.000 -0.503 -0.864 -0.494 0.869 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.785 -29.278 0.044 0.000 -0.538 -0.843 -0.422 0.907 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.786 -29.236 0.086 0.000 -0.572 -0.820 -0.345 0.939 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.787 -29.193 0.128 0.000 -0.607 -0.795 -0.263 0.965 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.788 -29.149 0.172 0.000 -0.641 -0.767 -0.177 0.984 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.789 -29.104 0.216 0.000 -0.675 -0.738 -0.088 0.996 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.790 -29.057 0.261 0.000 -0.709 -0.706 0.004 1.000 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.791 -29.010 0.306 0.000 -0.741 -0.671 0.099 0.995 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.792 -28.961 0.352 0.000 -0.773 -0.634 0.195 0.981 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.793 -28.912 0.398 0.000 -0.804 -0.595 0.292 0.956 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.794 -28.861 0.445 0.000 -0.833 -0.553 0.387 0.922 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.795 -28.809 0.491 0.000 -0.861 -0.509 0.481 0.877 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.796 -28.756 0.536 0.000 -0.886 -0.463 0.571 0.821 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.797 -28.701 0.581 0.000 -0.910 -0.414 0.657 0.754 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.798 -28.646 0.625 0.000 -0.932 -0.363 0.736 0.677 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.799 -28.589 0.668 0.000 -0.951 -0.310 0.808 0.589 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.800 -28.532 0.710 0.000 -0.967 -0.255 0.870 0.492 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.801 -28.473 0.750 0.000 -0.980 -0.197 0.922 0.387 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.802 -28.413 0.789 0.000 -0.990 -0.138 0.962 0.274 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.803 -28.352 0.825 0.000 -0.997 -0.077 0.988 0.154 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.804 -28.290 0.858 0.000 -1.000 -0.015 1.000 0.031 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.805 -28.226 0.889 0.000 -0.999 0.048 0.995 -0.096 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.806 -28.162 0.917 0.000 -0.994 0.112 0.975 -0.223 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.807 -28.096 0.941 0.000 -0.984 0.177 0.937 -0.348 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.808 -28.030 0.961 0.000 -0.970 0.242 0.883 -0.470 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.809 -27.962 0.978 0.000 -0.952 0.307 0.811 -0.585 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.810 -27.893 0.990 0.000 -0.928 0.372 0.723 -0.690 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.811 -27.823 0.997 0.000 -0.900 0.436 0.620 -0.785 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.812 -27.752 1.000 0.000 -0.867 0.499 0.503 -0.864 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.813 -27.680 0.998 0.000 -0.829 0.560 0.373 -0.928 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.814 -27.607 0.990 0.000 -0.785 0.619 0.234 -0.972 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.815 -27.533 0.976 0.000 -0.737 0.676 0.087 -0.996 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.816 -27.457 0.957 0.000 -0.684 0.729 -0.063 -0.998 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.817 -27.381 0.932 0.000 -0.627 0.779 -0.215 -0.977 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.818 -27.303 0.902 0.000 -0.564 0.826 -0.363 -0.932 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.819 -27.225 0.865 0.000 -0.498 0.867 -0.505 -0.863 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.820 -27.145 0.822 0.000 -0.427 0.904 -0.635 -0.772 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.821 -27.064 0.773 0.000 -0.353 0.936 -0.751 -0.660 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.822 -26.982 0.719 0.000 -0.275 0.961 -0.849 -0.529 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.823 -26.899 0.659 0.000 -0.194 0.981 -0.924 -0.381 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.824 -26.815 0.593 0.000 -0.111 0.994 -0.975 -0.222 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.825 -26.730 0.523 0.000 -0.027 1.000 -0.999 -0.053 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.826 -26.644 0.448 0.000 0.059 0.998 -0.993 0.119 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.827 -26.557 0.368 0.000 0.146 0.989 -0.957 0.289 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.828 -26.469 0.285 0.000 0.233 0.973 -0.892 0.453 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.829 -26.379 0.198 0.000 0.318 0.948 -0.797 0.604 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.830 -26.289 0.109 0.000 0.403 0.915 -0.676 0.737 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.831 -26.198 0.018 0.000 0.484 0.875 -0.531 0.848 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.832 -26.106 -0.074 0.000 0.563 0.826 -0.366 0.931 -0.000 -0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.833 -26.012 -0.167 0.000 0.638 0.770 -0.187 0.982 -0.000 -0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.834 -25.918 -0.259 0.000 0.707 0.707 0.001 1.000 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.835 -25.822 -0.350 0.000 0.772 0.636 0.191 0.982 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.836 -25.726 -0.439 0.000 0.829 0.559 0.375 0.927 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.837 -25.628 -0.524 0.000 0.880 0.476 0.548 0.837 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.838 -25.530 -0.605 0.000 0.922 0.387 0.701 0.713 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.839 -25.430 -0.681 0.000 0.956 0.293 0.828 0.561 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.840 -25.330 -0.751 0.000 0.981 0.196 0.923 0.384 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.841 -25.228 -0.814 0.000 0.995 0.095 0.982 0.190 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.842 -25.126 -0.869 0.000 1.000 -0.007 1.000 -0.014 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.843 -25.022 -0.916 0.000 0.994 -0.110 0.976 -0.219 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.844 -24.918 -0.953 0.000 0.977 -0.213 0.909 -0.417 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.845 -24.812 -0.979 0.000 0.949 -0.315 0.802 -0.598 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.846 -24.706 -0.995 0.000 0.910 -0.414 0.657 -0.754 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.847 -24.599 -1.000 0.000 0.861 -0.509 0.482 -0.876 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.848 -24.490 -0.993 0.000 0.801 -0.599 0.282 -0.959 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.849 -24.381 -0.974 0.000 0.730 -0.683 0.067 -0.998 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.850 -24.271 -0.943 0.000 0.651 -0.759 -0.153 -0.988 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.851 -24.159 -0.900 0.000 0.562 -0.827 -0.367 -0.930 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.852 -24.047 -0.846 0.000 0.466 -0.885 -0.565 -0.825 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.853 -23.934 -0.781 0.000 0.363 -0.932 -0.736 -0.677 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.854 -23.820 -0.704 0.000 0.255 -0.967 -0.870 -0.493 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.855 -23.705 -0.618 0.000 0.142 -0.990 -0.960 -0.282 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.856 -23.589 -0.523 0.000 0.027 -1.000 -0.999 -0.053 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.857 -23.472 -0.420 0.000 -0.090 -0.996 -0.984 0.179 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.858 -23.354 -0.310 0.000 -0.207 -0.978 -0.915 0.404 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.859 -23.235 -0.195 0.000 -0.321 -0.947 -0.794 0.608 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.860 -23.115 -0.077 0.000 -0.432 -0.902 -0.627 0.779 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.861 -22.995 0.044 0.000 -0.537 -0.843 -0.423 0.906 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.862 -22.873 0.164 0.000 -0.636 -0.772 -0.192 0.981 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.863 -22.751 0.284 0.000 -0.725 -0.689 0.051 0.999 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.864 -22.628 0.399 0.000 -0.804 -0.594 0.294 0.956 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.865 -22.503 0.510 0.000 -0.872 -0.490 0.520 0.854 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.866 -22.378 0.613 0.000 -0.926 -0.377 0.715 0.699 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.867 -22.252 0.708 0.000 -0.966 -0.258 0.867 0.499 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.868 -22.125 0.791 0.000 -0.991 -0.134 0.964 0.265 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.869 -21.998 0.863 0.000 -1.000 -0.007 1.000 0.013 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.870 -21.869 0.920 0.000 -0.993 0.122 0.970 -0.242 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.871 -21.740 0.963 0.000 -0.969 0.249 0.876 -0.482 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.872 -21.609 0.990 0.000 -0.928 0.373 0.722 -0.692 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.873 -21.478 1.000 0.000 -0.871 0.491 0.518 -0.855 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.874 -21.346 0.993 0.000 -0.799 0.601 0.277 -0.961 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.875 -21.213 0.968 0.000 -0.712 0.702 0.015 -1.000 -0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.876 -21.079 0.926 0.000 -0.612 0.791 -0.250 -0.968 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.877 -20.945 0.867 0.000 -0.501 0.866 -0.498 -0.867 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.878 -20.810 0.791 0.000 -0.379 0.925 -0.712 -0.702 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.879 -20.673 0.701 0.000 -0.250 0.968 -0.875 -0.485 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.880 -20.536 0.597 0.000 -0.116 0.993 -0.973 -0.230 -0.000 0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.881 -20.399 0.481 0.000 0.022 1.000 -0.999 0.043 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.882 -20.260 0.355 0.000 0.160 0.987 -0.949 0.315 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.883 -20.121 0.222 0.000 0.295 0.955 -0.826 0.564 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.884 -19.980 0.084 0.000 0.426 0.905 -0.637 0.771 0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.885 -19.839 -0.057 0.000 0.549 0.836 -0.398 0.918 -0.000 -0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.886 -19.698 -0.198 0.000 0.661 0.750 -0.125 0.992 -0.000 -0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.887 -19.555 -0.335 0.000 0.761 0.648 0.159 0.987 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.888 -19.412 -0.466 0.000 0.846 0.533 0.432 0.902 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.889 -19.268 -0.588 0.000 0.914 0.406 0.670 0.742 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.890 -19.123 -0.699 0.000 0.963 0.270 0.854 0.520 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.891 -18.977 -0.795 0.000 0.992 0.127 0.968 0.252 -0.000 -0.000 -0.000 -0.000 -0.881 0.500 -0.015 0.000
0.892 -18.831 -0.875 0.000 1.000 -0.019 0.999 -0.038 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.893 -18.684 -0.937 0.000 0.986 -0.165 0.945 -0.326 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.894 -18.536 -0.978 0.000 0.951 -0.309 0.809 -0.587 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.895 -18.387 -0.998 0.000 0.895 -0.446 0.602 -0.798 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.896 -18.238 -0.996 0.000 0.819 -0.574 0.341 -0.940 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.897 -18.088 -0.972 0.000 0.724 -0.690 0.047 -0.999 -0.000 0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.898 -17.937 -0.925 0.000 0.612 -0.791 -0.251 -0.968 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.899 -17.786 -0.858 0.000 0.486 -0.874 -0.529 -0.849 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.900 -17.634 -0.770 0.000 0.347 -0.938 -0.759 -0.652 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.901 -17.481 -0.664 0.000 0.201 -0.980 -0.920 -0.393 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.902 -17.327 -0.541 0.000 0.048 -0.999 -0.995 -0.097 -0.000 0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.903 -17.173 -0.406 0.000 -0.106 -0.994 -0.978 0.210 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.904 -17.018 -0.260 0.000 -0.258 -0.966 -0.867 0.498 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.905 -16.863 -0.107 0.000 -0.404 -0.915 -0.673 0.740 0.000 0.000 0.000 -0.000 -0.881 0.500 -0.015 0.000
0.906 -16.706 0.049 0.000 -0.542 -0.841 -0.413 0.911 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.907 -16.549 0.204 0.000 -0.666 -0.746 -0.112 0.994 -0.000 -0.000 -0.000 0.000 -0.881 0.500 -0.015 0.000
0.908 -16.392 0.355 0.000 -0.775 -0.632 0.202 0.979 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.909 -16.234 0.498 0.000 -0.865 -0.502 0.496 0.868 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.910 -16.075 0.629 0.000 -0.933 -0.359 0.743 0.670 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.911 -15.915 0.745 0.000 -0.979 -0.206 0.915 0.403 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.912 -15.755 0.841 0.000 -0.999 -0.047 0.996 0.094 -0.000 -0.000 0.000 0.000 -0.881 0.500 -0.015 0.000
0.913 -15.595 0.917 0.001 -0.994 0.113 0.974 -0.225 -0.001 0.000 0.001 -0.000 -0.881 0.500 -0.015 0.000
0.914 -15.433 0.969 0.001 -0.962 0.271 0.853 -0.522 -0.001 0.000 0.001 -0.000 -0.881 0.500 -0.015 0.000
0.915 -15.271 0.996 0.001 -0.906 0.423 0.642 -0.767 -0.001 0.000 0.001 -0.001 -0.881 0.500 -0.015 0.000
0.916 -15.109 0.997 0.001 -0.826 0.564 0.364 -0.932 -0.001 0.001 0.000 -0.001 -0.881 0.500 -0.015 0.000
0.917 -14.946 0.972 0.001 -0.723 0.691 0.046 -0.999 -0.001 0.001 0.000 -0.001 -0.881 0.500 -0.015 0.000
0.918 -14.782 0.920 0.001 -0.601 0.799 -0.278 -0.961 -0.001 0.001 -0.000 -0.001 -0.881 0.500 -0.015 0.000
0.919 -14.618 0.844 0.002 -0.462 0.887 -0.573 -0.820 -0.001 0.001 -0.001 -0.001 -0.881 0.500 -0.015 0.000
