a fft p
2.40000e+01 5.39055e-01 5.54422e-01
2.50000e+01 2.10221e-29 4.63153e-01
2.60000e+01 3.59971e-01 3.71754e-01
2.70000e+01 1.97059e-29 2.86711e-01
2.80000e+01 2.08582e-01 2.12490e-01
2.90000e+01 1.97276e-29 1.51384e-01
3.00000e+01 1.08417e-01 1.03788e-01
3.10000e+01 2.09216e-29 6.87259e-02
3.20000e+01 5.61356e-02 4.44727e-02
3.30000e+01 2.30276e-29 2.91435e-02
3.40000e+01 3.72211e-02 2.11668e-02
3.50000e+01 2.56495e-29 1.96176e-02
3.60000e+01 4.21301e-02 2.44145e-02
3.70000e+01 2.81422e-29 3.63937e-02
3.80000e+01 7.63589e-02 5.72565e-02
3.90000e+01 2.95345e-29 8.93681e-02
4.00000e+01 1.60522e-01 1.35378e-01
4.10000e+01 2.86944e-29 1.97645e-01
4.20000e+01 3.15881e-01 2.77504e-01
4.30000e+01 2.48802e-29 3.74467e-01
4.40000e+01 5.37931e-01 4.85551e-01
4.50000e+01 1.84643e-29 6.04934e-01
4.60000e+01 7.77315e-01 7.24146e-01
4.70000e+01 1.11717e-29 8.32889e-01
4.80000e+01 9.53237e-01 9.20433e-01
4.90000e+01 5.31338e-30 9.77340e-01
5.00000e+01 1.00000e+00 9.97142e-01
5.10000e+01 2.38466e-30 9.77569e-01
5.20000e+01 9.10900e-01 9.21009e-01
5.30000e+01 2.19053e-30 8.34086e-01
5.40000e+01 7.40055e-01 7.26477e-01
5.50000e+01 3.28453e-30 6.09270e-01
5.60000e+01 5.62412e-01 4.93291e-01
5.70000e+01 4.24220e-30 3.87738e-01
5.80000e+01 4.30601e-01 2.99362e-01
5.90000e+01 4.56859e-30 2.32222e-01
6.00000e+01 3.61487e-01 1.87902e-01
6.10000e+01 4.64614e-30 1.65968e-01
6.20000e+01 3.48306e-01 1.64461e-01
6.30000e+01 5.20884e-30 1.80295e-01
6.40000e+01 3.73578e-01 2.09501e-01
6.50000e+01 7.04182e-30 2.47412e-01
