time alpha-beta alpha-gamma beta-gamma alpha-gamma-minus-alpha-beta
1.93500e+00 4.31711e+01 1.36352e+01 -2.95465e+01 -2.95359e+01
1.94000e+00 4.30314e+01 1.35362e+01 -2.95033e+01 -2.94952e+01
1.94500e+00 4.27034e+01 1.33211e+01 -2.93682e+01 -2.93822e+01
1.95000e+00 4.25555e+01 1.29753e+01 -2.95804e+01 -2.95802e+01
1.95500e+00 4.22475e+01 1.23668e+01 -2.98664e+01 -2.98807e+01
1.96000e+00 4.20772e+01 1.16464e+01 -3.04254e+01 -3.04308e+01
1.96500e+00 4.18370e+01 1.07074e+01 -3.11247e+01 -3.11296e+01
1.97000e+00 4.15505e+01 9.67444e+00 -3.18863e+01 -3.18761e+01
1.97500e+00 4.13876e+01 8.38889e+00 -3.29764e+01 -3.29987e+01
1.98000e+00 4.11097e+01 7.02129e+00 -3.40829e+01 -3.40884e+01
1.98500e+00 4.09323e+01 5.51610e+00 -3.54358e+01 -3.54162e+01
1.99000e+00 4.07075e+01 3.80600e+00 -3.68881e+01 -3.69016e+01
1.99500e+00 4.04291e+01 1.99061e+00 -3.84282e+01 -3.84385e+01
2.00000e+00 4.02907e+01 3.29405e-02 -4.02623e+01 -4.02578e+01
2.00500e+00 3.99243e+01 -2.05975e+00 -4.19875e+01 -4.19840e+01
2.01000e+00 3.98070e+01 -4.30230e+00 -4.40876e+01 -4.41093e+01
2.01500e+00 3.94552e+01 -6.63290e+00 -4.60927e+01 -4.60881e+01
2.02000e+00 3.93061e+01 -9.07549e+00 -4.83860e+01 -4.83816e+01
2.02500e+00 3.90748e+01 -1.16644e+01 -5.07227e+01 -5.07392e+01
2.03000e+00 3.88388e+01 -1.43619e+01 -5.31938e+01 -5.32006e+01
2.03500e+00 3.86140e+01 -1.70917e+01 -5.57238e+01 -5.57057e+01
2.04000e+00 3.83154e+01 -2.00286e+01 -5.83401e+01 -5.83441e+01
2.04500e+00 3.81513e+01 -2.29087e+01 -6.10332e+01 -6.10600e+01
2.05000e+00 3.78702e+01 -2.59369e+01 -6.38104e+01 -6.38071e+01
2.05500e+00 3.76471e+01 -2.89352e+01 -6.65923e+01 -6.65823e+01
2.06000e+00 3.74152e+01 -3.20533e+01 -6.94473e+01 -6.94686e+01
2.06500e+00 3.71460e+01 -3.51100e+01 -7.22550e+01 -7.22560e+01
2.07000e+00 3.69774e+01 -3.82101e+01 -7.51995e+01 -7.51875e+01
2.07500e+00 3.67044e+01 -4.13257e+01 -7.80029e+01 -7.80301e+01
2.08000e+00 3.65057e+01 -4.43736e+01 -8.08711e+01 -8.08793e+01
2.08500e+00 3.62233e+01 -4.73882e+01 -8.36272e+01 -8.36115e+01
2.09000e+00 3.60420e+01 -5.03481e+01 -8.63765e+01 -8.63901e+01
2.09500e+00 3.57509e+01 -5.32507e+01 -8.89845e+01 -8.90016e+01
2.10000e+00 3.55467e+01 -5.60096e+01 -9.15605e+01 -9.15563e+01
2.10500e+00 3.52823e+01 -5.87492e+01 -9.40259e+01 -9.40315e+01
2.11000e+00 3.50900e+01 -6.13267e+01 -9.64089e+01 -9.64167e+01
2.11500e+00 3.48620e+01 -6.38200e+01 -9.86769e+01 -9.86821e+01
2.12000e+00 3.46241e+01 -6.61476e+01 -1.00784e+02 -1.00772e+02
2.12500e+00 3.43841e+01 -6.83805e+01 -1.02740e+02 -1.02765e+02
2.13000e+00 3.41465e+01 -7.04524e+01 -1.04591e+02 -1.04599e+02
2.13500e+00 3.39119e+01 -7.23102e+01 -1.06233e+02 -1.06222e+02
2.14000e+00 3.36691e+01 -7.41067e+01 -1.07776e+02 -1.07776e+02
2.14500e+00 3.34102e+01 -7.56571e+01 -1.09059e+02 -1.09067e+02
2.15000e+00 3.32066e+01 -7.70200e+01 -1.10232e+02 -1.10227e+02
2.15500e+00 3.29543e+01 -7.82433e+01 -1.11184e+02 -1.11198e+02
2.16000e+00 3.27756e+01 -7.92355e+01 -1.11995e+02 -1.12011e+02
2.16500e+00 3.24910e+01 -8.00425e+01 -1.12533e+02 -1.12534e+02
2.17000e+00 3.22746e+01 -8.06489e+01 -1.12934e+02 -1.12924e+02
2.17500e+00 3.20029e+01 -8.11307e+01 -1.13106e+02 -1.13134e+02
2.18000e+00 3.17814e+01 -8.13716e+01 -1.13151e+02 -1.13153e+02
2.18500e+00 3.15098e+01 -8.14605e+01 -1.12982e+02 -1.12970e+02
2.19000e+00 3.12935e+01 -8.14012e+01 -1.12682e+02 -1.12695e+02
2.19500e+00 3.10615e+01 -8.11964e+01 -1.12250e+02 -1.12258e+02
2.20000e+00 3.08601e+01 -8.08006e+01 -1.11669e+02 -1.11661e+02
2.20500e+00 3.06163e+01 -8.03114e+01 -1.10933e+02 -1.10928e+02
2.21000e+00 3.03756e+01 -7.95712e+01 -1.09920e+02 -1.09947e+02
2.21500e+00 3.01018e+01 -7.86943e+01 -1.08802e+02 -1.08796e+02
2.22000e+00 2.98861e+01 -7.77046e+01 -1.07597e+02 -1.07591e+02
2.22500e+00 2.96326e+01 -7.65024e+01 -1.06105e+02 -1.06135e+02
2.23000e+00 2.94117e+01 -7.52191e+01 -1.04636e+02 -1.04631e+02
2.23500e+00 2.91733e+01 -7.37002e+01 -1.02884e+02 -1.02873e+02
2.24000e+00 2.89656e+01 -7.21533e+01 -1.01103e+02 -1.01119e+02
2.24500e+00 2.87185e+01 -7.03827e+01 -9.90968e+01 -9.91012e+01
2.25000e+00 2.84815e+01 -6.84565e+01 -9.69488e+01 -9.69380e+01
2.25500e+00 2.82189e+01 -6.65372e+01 -9.47520e+01 -9.47561e+01
2.26000e+00 2.79808e+01 -6.43012e+01 -9.22672e+01 -9.22820e+01
2.26500e+00 2.77324e+01 -6.21133e+01 -8.98599e+01 -8.98457e+01
2.27000e+00 2.75275e+01 -5.96887e+01 -8.72018e+01 -8.72162e+01
2.27500e+00 2.72565e+01 -5.71808e+01 -8.44124e+01 -8.44373e+01
2.28000e+00 2.70865e+01 -5.45212e+01 -8.16052e+01 -8.16077e+01
2.28500e+00 2.67863e+01 -5.18044e+01 -7.85839e+01 -7.85907e+01
2.29000e+00 2.66148e+01 -4.90315e+01 -7.56228e+01 -7.56462e+01
2.29500e+00 2.62924e+01 -4.60963e+01 -7.23900e+01 -7.23887e+01
2.30000e+00 2.60822e+01 -4.31628e+01 -6.92462e+01 -6.92450e+01
2.30500e+00 2.58446e+01 -4.01583e+01 -6.59969e+01 -6.60029e+01
2.31000e+00 2.55881e+01 -3.71195e+01 -6.27091e+01 -6.27076e+01
2.31500e+00 2.54030e+01 -3.40330e+01 -5.94558e+01 -5.94360e+01
2.32000e+00 2.50870e+01 -3.09884e+01 -5.60678e+01 -5.60754e+01
2.32500e+00 2.49405e+01 -2.79083e+01 -5.28341e+01 -5.28488e+01
2.33000e+00 2.46342e+01 -2.48179e+01 -4.94708e+01 -4.94521e+01
2.33500e+00 2.44137e+01 -2.17997e+01 -4.61967e+01 -4.62134e+01
2.34000e+00 2.41651e+01 -1.88208e+01 -4.29764e+01 -4.29859e+01
2.34500e+00 2.39044e+01 -1.58635e+01 -3.97736e+01 -3.97680e+01
2.35000e+00 2.37156e+01 -1.30035e+01 -3.67164e+01 -3.67191e+01
2.35500e+00 2.34447e+01 -1.02677e+01 -3.37002e+01 -3.37124e+01
2.36000e+00 2.32188e+01 -7.54899e+00 -3.07802e+01 -3.07678e+01
2.36500e+00 2.29676e+01 -4.99494e+00 -2.79753e+01 -2.79626e+01
2.37000e+00 2.27329e+01 -2.58044e+00 -2.52896e+01 -2.53133e+01
2.37500e+00 2.25493e+01 -2.58664e-01 -2.28022e+01 -2.28080e+01
2.38000e+00 2.22129e+01 1.89337e+00 -2.03273e+01 -2.03195e+01
2.38500e+00 2.20557e+01 3.89651e+00 -1.81464e+01 -1.81592e+01
2.39000e+00 2.17161e+01 5.70419e+00 -1.60161e+01 -1.60119e+01
2.39500e+00 2.15955e+01 7.37943e+00 -1.42211e+01 -1.42161e+01
2.40000e+00 2.12370e+01 8.81047e+00 -1.24190e+01 -1.24265e+01
2.40500e+00 2.11162e+01 1.00870e+01 -1.10185e+01 -1.10292e+01
2.41000e+00 2.07951e+01 1.12273e+01 -9.57292e+00 -9.56777e+00
2.41500e+00 2.06299e+01 1.20673e+01 -8.57531e+00 -8.56255e+00
2.42000e+00 2.03296e+01 1.27458e+01 -7.55737e+00 -7.58380e+00
2.42500e+00 2.00699e+01 1.32469e+01 -6.84123e+00 -6.82301e+00
2.43000e+00 1.98411e+01 1.35138e+01 -6.33484e+00 -6.32727e+00
2.43500e+00 1.95777e+01 1.36098e+01 -5.94480e+00 -5.96789e+00
2.44000e+00 1.94006e+01 1.35486e+01 -5.85297e+00 -5.85206e+00
2.44500e+00 1.90987e+01 1.33400e+01 -5.75738e+00 -5.75866e+00
2.45000e+00 1.88925e+01 1.29613e+01 -5.90653e+00 -5.93121e+00
2.45500e+00 1.86397e+01 1.23664e+01 -6.26393e+00 -6.27331e+00
2.46000e+00 1.83908e+01 1.16764e+01 -6.73103e+00 -6.71435e+00
2.46500e+00 1.81775e+01 1.06961e+01 -7.46058e+00 -7.48139e+00
2.47000e+00 1.78616e+01 9.66074e+00 -8.20167e+00 -8.20083e+00
2.47500e+00 1.76854e+01 8.42553e+00 -9.27322e+00 -9.25985e+00
2.48000e+00 1.73890e+01 7.01449e+00 -1.03665e+01 -1.03745e+01
2.48500e+00 1.71939e+01 5.48408e+00 -1.16892e+01 -1.17098e+01
2.49000e+00 1.69430e+01 3.81737e+00 -1.31405e+01 -1.31256e+01
2.49500e+00 1.66921e+01 1.99367e+00 -1.47070e+01 -1.46985e+01
2.50000e+00 1.65268e+01 2.92988e-02 -1.64924e+01 -1.64975e+01
2.50500e+00 1.61927e+01 -2.06019e+00 -1.82641e+01 -1.82528e+01
2.51000e+00 1.60041e+01 -4.26149e+00 -2.02755e+01 -2.02656e+01
2.51500e+00 1.56749e+01 -6.65400e+00 -2.23019e+01 -2.23289e+01
2.52000e+00 1.55077e+01 -9.09594e+00 -2.46111e+01 -2.46036e+01
2.52500e+00 1.52504e+01 -1.16411e+01 -2.69038e+01 -2.68915e+01
2.53000e+00 1.50261e+01 -1.43807e+01 -2.93898e+01 -2.94067e+01
2.53500e+00 1.47772e+01 -1.71183e+01 -3.18830e+01 -3.18955e+01
2.54000e+00 1.45149e+01 -2.00038e+01 -3.45288e+01 -3.45187e+01
2.54500e+00 1.43245e+01 -2.29156e+01 -3.72428e+01 -3.72401e+01
2.55000e+00 1.40233e+01 -2.59339e+01 -3.99537e+01 -3.99572e+01
2.55500e+00 1.38057e+01 -2.89462e+01 -4.27591e+01 -4.27519e+01
2.56000e+00 1.35109e+01 -3.20266e+01 -4.55196e+01 -4.55375e+01
2.56500e+00 1.32864e+01 -3.51431e+01 -4.84238e+01 -4.84294e+01
2.57000e+00 1.30868e+01 -3.82169e+01 -5.13074e+01 -5.13037e+01
2.57500e+00 1.27686e+01 -4.13203e+01 -5.40767e+01 -5.40889e+01
2.58000e+00 1.26327e+01 -4.43951e+01 -5.70082e+01 -5.70279e+01
2.58500e+00 1.22766e+01 -4.73662e+01 -5.96554e+01 -5.96429e+01
2.59000e+00 1.21589e+01 -5.03534e+01 -6.25236e+01 -6.25124e+01
2.59500e+00 1.17781e+01 -5.32277e+01 -6.49783e+01 -6.50058e+01
2.60000e+00 1.15889e+01 -5.60274e+01 -6.76129e+01 -6.76163e+01
2.60500e+00 1.13045e+01 -5.87432e+01 -7.00415e+01 -7.00477e+01
2.61000e+00 1.11144e+01 -6.13350e+01 -7.24348e+01 -7.24494e+01
2.61500e+00 1.08822e+01 -6.38251e+01 -7.47017e+01 -7.47073e+01
2.62000e+00 1.06170e+01 -6.61445e+01 -7.67747e+01 -7.67615e+01
2.62500e+00 1.03836e+01 -6.83862e+01 -7.87455e+01 -7.87699e+01
2.63000e+00 1.01444e+01 -7.04437e+01 -8.05765e+01 -8.05882e+01
2.63500e+00 9.87132e+00 -7.23195e+01 -8.22038e+01 -8.21908e+01
2.64000e+00 9.65766e+00 -7.40896e+01 -8.37496e+01 -8.37472e+01
2.64500e+00 9.32244e+00 -7.56529e+01 -8.49779e+01 -8.49753e+01
2.65000e+00 9.18552e+00 -7.70115e+01 -8.62032e+01 -8.61970e+01
2.65500e+00 8.86118e+00 -7.82433e+01 -8.70930e+01 -8.71044e+01
2.66000e+00 8.73410e+00 -7.92340e+01 -8.79546e+01 -8.79681e+01
2.66500e+00 8.37779e+00 -8.00292e+01 -8.84170e+01 -8.84070e+01
2.67000e+00 8.21853e+00 -8.06575e+01 -8.88774e+01 -8.88760e+01
2.67500e+00 7.90372e+00 -8.11069e+01 -8.89851e+01 -8.90106e+01
2.68000e+00 7.68218e+00 -8.13720e+01 -8.90677e+01 -8.90542e+01
2.68500e+00 7.38139e+00 -8.14435e+01 -8.88105e+01 -8.88249e+01
2.69000e+00 7.16668e+00 -8.14013e+01 -8.85593e+01 -8.85679e+01
2.69500e+00 6.93987e+00 -8.11865e+01 -8.81404e+01 -8.81264e+01
2.70000e+00 6.70744e+00 -8.07964e+01 -8.75183e+01 -8.75038e+01
2.70500e+00 6.45608e+00 -8.03111e+01 -8.67408e+01 -8.67672e+01
2.71000e+00 6.19384e+00 -7.95544e+01 -8.57566e+01 -8.57482e+01
2.71500e+00 5.93751e+00 -7.86923e+01 -8.46377e+01 -8.46298e+01
2.72000e+00 5.71042e+00 -7.76911e+01 -8.33781e+01 -8.34015e+01
2.72500e+00 5.41935e+00 -7.64829e+01 -8.19111e+01 -8.19022e+01
2.73000e+00 5.22770e+00 -7.51902e+01 -8.04366e+01 -8.04179e+01
2.73500e+00 4.89866e+00 -7.37261e+01 -7.86116e+01 -7.86248e+01
2.74000e+00 4.76701e+00 -7.21415e+01 -7.68958e+01 -7.69085e+01
2.74500e+00 4.44457e+00 -7.03640e+01 -7.48187e+01 -7.48086e+01
2.75000e+00 4.26621e+00 -6.84778e+01 -7.27445e+01 -7.27440e+01
2.75500e+00 3.97154e+00 -6.64925e+01 -7.04478e+01 -7.04640e+01
2.76000e+00 3.74106e+00 -6.42910e+01 -6.80518e+01 -6.80320e+01
2.76500e+00 3.47867e+00 -6.20932e+01 -6.55535e+01 -6.55719e+01
2.77000e+00 3.19618e+00 -5.96970e+01 -6.28779e+01 -6.28932e+01
2.77500e+00 2.99820e+00 -5.71290e+01 -6.01409e+01 -6.01272e+01
2.78000e+00 2.73352e+00 -5.45201e+01 -5.72591e+01 -5.72536e+01
2.78500e+00 2.54101e+00 -5.18155e+01 -5.43414e+01 -5.43565e+01
2.79000e+00 2.24343e+00 -4.89702e+01 -5.12211e+01 -5.12136e+01
2.79500e+00 2.02253e+00 -4.61201e+01 -4.81517e+01 -4.81426e+01
2.80000e+00 1.73613e+00 -4.31480e+01 -4.48530e+01 -4.48841e+01
2.80500e+00 1.52411e+00 -4.01384e+01 -4.16752e+01 -4.16625e+01
2.81000e+00 1.23373e+00 -3.70715e+01 -3.82998e+01 -3.83052e+01
2.81500e+00 1.00145e+00 -3.40534e+01 -3.50464e+01 -3.50549e+01
2.82000e+00 7.26866e-01 -3.09490e+01 -3.16898e+01 -3.16759e+01
2.82500e+00 5.24529e-01 -2.78811e+01 -2.84148e+01 -2.84057e+01
2.83000e+00 2.84085e-01 -2.48211e+01 -2.50962e+01 -2.51051e+01
2.83500e+00 -6.73944e-04 -2.17839e+01 -2.17796e+01 -2.17832e+01
2.84000e+00 -2.24920e-01 -1.87800e+01 -1.85692e+01 -1.85550e+01
2.84500e+00 -5.17885e-01 -1.58775e+01 -1.53322e+01 -1.53596e+01
2.85000e+00 -7.43786e-01 -1.29950e+01 -1.22540e+01 -1.22512e+01
2.85500e+00 -9.86642e-01 -1.02306e+01 -9.25791e+00 -9.24392e+00
2.86000e+00 -1.26087e+00 -7.55687e+00 -6.28858e+00 -6.29601e+00
2.86500e+00 -1.45130e+00 -4.99012e+00 -3.53302e+00 -3.53882e+00
2.87000e+00 -1.72318e+00 -2.54391e+00 -8.32262e-01 -8.20734e-01
2.87500e+00 -1.94518e+00 -2.50731e-01 1.69989e+00 1.69445e+00
2.88000e+00 -2.22918e+00 1.89831e+00 4.13567e+00 4.12749e+00
2.88500e+00 -2.48662e+00 3.91152e+00 6.37917e+00 6.39814e+00
2.89000e+00 -2.72723e+00 5.72924e+00 8.45116e+00 8.45647e+00
2.89500e+00 -2.98316e+00 7.36099e+00 1.03532e+01 1.03442e+01
2.90000e+00 -3.22299e+00 8.87041e+00 1.20882e+01 1.20934e+01
2.90500e+00 -3.47000e+00 1.00904e+01 1.35730e+01 1.35604e+01
2.91000e+00 -3.70395e+00 1.12136e+01 1.49400e+01 1.49176e+01
2.91500e+00 -3.92935e+00 1.20798e+01 1.60089e+01 1.60092e+01
2.92000e+00 -4.22348e+00 1.27628e+01 1.69772e+01 1.69863e+01
2.92500e+00 -4.46166e+00 1.32363e+01 1.77144e+01 1.76980e+01
2.93000e+00 -4.74720e+00 1.35245e+01 1.82665e+01 1.82717e+01
2.93500e+00 -4.98061e+00 1.36420e+01 1.86124e+01 1.86226e+01
2.94000e+00 -5.20992e+00 1.35266e+01 1.87669e+01 1.87365e+01
2.94500e+00 -5.49667e+00 1.33424e+01 1.88219e+01 1.88391e+01
2.95000e+00 -5.69228e+00 1.29873e+01 1.86663e+01 1.86796e+01
2.95500e+00 -5.96738e+00 1.23576e+01 1.83313e+01 1.83250e+01
2.96000e+00 -6.18619e+00 1.16626e+01 1.78484e+01 1.78488e+01
2.96500e+00 -6.49683e+00 1.07165e+01 1.72060e+01 1.72134e+01
2.97000e+00 -6.74517e+00 9.63302e+00 1.64086e+01 1.63782e+01
2.97500e+00 -6.98930e+00 8.42634e+00 1.54175e+01 1.54156e+01
2.98000e+00 -7.23702e+00 7.01884e+00 1.42528e+01 1.42559e+01
2.98500e+00 -7.46044e+00 5.49594e+00 1.29606e+01 1.29564e+01
2.99000e+00 -7.75219e+00 3.79248e+00 1.15471e+01 1.15447e+01
2.99500e+00 -7.92538e+00 2.00542e+00 9.92263e+00 9.93080e+00
3.00000e+00 -8.20501e+00 1.98281e-02 8.23457e+00 8.22484e+00
3.00500e+00 -8.42060e+00 -2.07017e+00 6.36409e+00 6.35043e+00
3.01000e+00 -8.74060e+00 -4.26002e+00 4.47326e+00 4.48058e+00
3.01500e+00 -8.98033e+00 -6.65177e+00 2.33945e+00 2.32856e+00
3.02000e+00 -9.24430e+00 -9.09881e+00 1.47676e-01 1.45489e-01
3.02500e+00 -9.47187e+00 -1.16686e+01 -2.21599e+00 -2.19669e+00
3.03000e+00 -9.71092e+00 -1.43829e+01 -4.67261e+00 -4.67193e+00
3.03500e+00 -9.99446e+00 -1.71366e+01 -7.12910e+00 -7.14216e+00
3.04000e+00 -1.01648e+01 -1.99999e+01 -9.85440e+00 -9.83511e+00
3.04500e+00 -1.04694e+01 -2.29202e+01 -1.24552e+01 -1.24508e+01
3.05000e+00 -1.06840e+01 -2.59432e+01 -1.52424e+01 -1.52592e+01
3.05500e+00 -1.10114e+01 -2.89424e+01 -1.79395e+01 -1.79310e+01
3.06000e+00 -1.12577e+01 -3.20502e+01 -2.07842e+01 -2.07926e+01
3.06500e+00 -1.14839e+01 -3.51520e+01 -2.36600e+01 -2.36681e+01
3.07000e+00 -1.17486e+01 -3.82339e+01 -2.64915e+01 -2.64853e+01
3.07500e+00 -1.19623e+01 -4.13152e+01 -2.93597e+01 -2.93529e+01
3.08000e+00 -1.22337e+01 -4.43986e+01 -3.21552e+01 -3.21649e+01
3.08500e+00 -1.24565e+01 -4.73948e+01 -3.49416e+01 -3.49383e+01
3.09000e+00 -1.27352e+01 -5.03587e+01 -3.76124e+01 -3.76235e+01
3.09500e+00 -1.29979e+01 -5.32427e+01 -4.02140e+01 -4.02448e+01
3.10000e+00 -1.32779e+01 -5.60181e+01 -4.27460e+01 -4.27402e+01
3.10500e+00 -1.35201e+01 -5.87475e+01 -4.52219e+01 -4.52274e+01
3.11000e+00 -1.37514e+01 -6.13477e+01 -4.75876e+01 -4.75963e+01
3.11500e+00 -1.40038e+01 -6.38323e+01 -4.98279e+01 -4.98285e+01
3.12000e+00 -1.42361e+01 -6.61607e+01 -5.19379e+01 -5.19246e+01
3.12500e+00 -1.45161e+01 -6.83962e+01 -5.38675e+01 -5.38801e+01
3.13000e+00 -1.46828e+01 -7.04361e+01 -5.57490e+01 -5.57533e+01
3.13500e+00 -1.50514e+01 -7.23455e+01 -5.73044e+01 -5.72942e+01
3.14000e+00 -1.52160e+01 -7.40840e+01 -5.88476e+01 -5.88680e+01
3.14500e+00 -1.55832e+01 -7.56549e+01 -6.00801e+01 -6.00717e+01
3.15000e+00 -1.57139e+01 -7.70241e+01 -6.13198e+01 -6.13101e+01
3.15500e+00 -1.60253e+01 -7.82498e+01 -6.22196e+01 -6.22246e+01
3.16000e+00 -1.62391e+01 -7.92313e+01 -6.29815e+01 -6.29922e+01
3.16500e+00 -1.64965e+01 -8.00442e+01 -6.35607e+01 -6.35477e+01
3.17000e+00 -1.67653e+01 -8.06862e+01 -6.39055e+01 -6.39210e+01
3.17500e+00 -1.69499e+01 -8.11001e+01 -6.41379e+01 -6.41502e+01
3.18000e+00 -1.72891e+01 -8.13606e+01 -6.40825e+01 -6.40716e+01
3.18500e+00 -1.75116e+01 -8.14541e+01 -6.39229e+01 -6.39424e+01
3.19000e+00 -1.78064e+01 -8.13703e+01 -6.35617e+01 -6.35639e+01
3.19500e+00 -1.80278e+01 -8.11936e+01 -6.31727e+01 -6.31658e+01
3.20000e+00 -1.82715e+01 -8.08095e+01 -6.25155e+01 -6.25380e+01
3.20500e+00 -1.85543e+01 -8.02993e+01 -6.17456e+01 -6.17450e+01
3.21000e+00 -1.87488e+01 -7.95426e+01 -6.08018e+01 -6.07937e+01
3.21500e+00 -1.90544e+01 -7.86943e+01 -5.96274e+01 -5.96399e+01
3.22000e+00 -1.92267e+01 -7.76842e+01 -5.84504e+01 -5.84575e+01
3.22500e+00 -1.95761e+01 -7.64563e+01 -5.68850e+01 -5.68802e+01
3.23000e+00 -1.97762e+01 -7.52003e+01 -5.54063e+01 -5.54240e+01
3.23500e+00 -2.00988e+01 -7.36928e+01 -5.35826e+01 -5.35940e+01
3.24000e+00 -2.02824e+01 -7.21105e+01 -5.18457e+01 -5.18281e+01
3.24500e+00 -2.05564e+01 -7.03767e+01 -4.98174e+01 -4.98203e+01
3.25000e+00 -2.07860e+01 -6.84747e+01 -4.76808e+01 -4.76887e+01
3.25500e+00 -2.10251e+01 -6.64672e+01 -4.54593e+01 -4.54421e+01
3.26000e+00 -2.13017e+01 -6.42944e+01 -4.29795e+01 -4.29927e+01
3.26500e+00 -2.15093e+01 -6.20790e+01 -4.05610e+01 -4.05697e+01
3.27000e+00 -2.18697e+01 -5.96455e+01 -3.77947e+01 -3.77758e+01
3.27500e+00 -2.20365e+01 -5.71231e+01 -3.50860e+01 -3.50866e+01
3.28000e+00 -2.23422e+01 -5.45088e+01 -3.21583e+01 -3.21666e+01
3.28500e+00 -2.25440e+01 -5.17736e+01 -2.92470e+01 -2.92296e+01
3.29000e+00 -2.28150e+01 -4.89760e+01 -2.61619e+01 -2.61610e+01
3.29500e+00 -2.30646e+01 -4.61194e+01 -2.30307e+01 -2.30548e+01
3.30000e+00 -2.32970e+01 -4.31163e+01 -1.98281e+01 -1.98193e+01
3.30500e+00 -2.35736e+01 -4.01236e+01 -1.65451e+01 -1.65500e+01
3.31000e+00 -2.38072e+01 -3.70834e+01 -1.32591e+01 -1.32762e+01
3.31500e+00 -2.41144e+01 -3.39948e+01 -9.89940e+00 -9.88038e+00
3.32000e+00 -2.43517e+01 -3.09491e+01 -6.58858e+00 -6.59733e+00
3.32500e+00 -2.45657e+01 -2.78757e+01 -3.30307e+00 -3.31002e+00
3.33000e+00 -2.48374e+01 -2.48122e+01 1.73807e-02 2.52079e-02
3.33500e+00 -2.50811e+01 -2.17492e+01 3.32608e+00 3.33184e+00
3.34000e+00 -2.53474e+01 -1.88119e+01 6.55226e+00 6.53549e+00
3.34500e+00 -2.55816e+01 -1.58382e+01 9.74560e+00 9.74343e+00
3.35000e+00 -2.58629e+01 -1.29773e+01 1.28869e+01 1.28855e+01
3.35500e+00 -2.60882e+01 -1.02345e+01 1.58709e+01 1.58537e+01
3.36000e+00 -2.64003e+01 -7.51645e+00 1.88714e+01 1.88839e+01
3.36500e+00 -2.65769e+01 -4.96984e+00 2.15960e+01 2.16071e+01
3.37000e+00 -2.68798e+01 -2.55062e+00 2.43487e+01 2.43292e+01
3.37500e+00 -2.70692e+01 -2.52682e-01 2.68245e+01 2.68165e+01
3.38000e+00 -2.73821e+01 1.91871e+00 2.92924e+01 2.93008e+01
3.38500e+00 -2.76025e+01 3.89950e+00 3.15085e+01 3.15020e+01
3.39000e+00 -2.78670e+01 5.74061e+00 3.36060e+01 3.36076e+01
3.39500e+00 -2.81284e+01 7.40372e+00 3.55222e+01 3.55322e+01
3.40000e+00 -2.83982e+01 8.85127e+00 3.72752e+01 3.72494e+01
3.40500e+00 -2.86436e+01 1.01169e+01 3.87626e+01 3.87605e+01
3.41000e+00 -2.88881e+01 1.12455e+01 4.01255e+01 4.01337e+01
3.41500e+00 -2.91114e+01 1.20583e+01 4.11816e+01 4.11697e+01
3.42000e+00 -2.93884e+01 1.27763e+01 4.21667e+01 4.21647e+01
3.42500e+00 -2.96375e+01 1.32565e+01 4.28776e+01 4.28940e+01
3.43000e+00 -2.98926e+01 1.35174e+01 4.34202e+01 4.34100e+01
3.43500e+00 -3.01745e+01 1.36418e+01 4.38209e+01 4.38164e+01
3.44000e+00 -3.03836e+01 1.35614e+01 4.39375e+01 4.39450e+01
3.44500e+00 -3.06916e+01 1.33330e+01 4.40290e+01 4.40246e+01
3.45000e+00 -3.08797e+01 1.29727e+01 4.38601e+01 4.38525e+01
3.45500e+00 -3.11556e+01 1.23818e+01 4.35194e+01 4.35374e+01
3.46000e+00 -3.14020e+01 1.16566e+01 4.30702e+01 4.30586e+01
3.46500e+00 -3.16541e+01 1.07003e+01 4.23638e+01 4.23544e+01
3.47000e+00 -3.19474e+01 9.67209e+00 4.16127e+01 4.16195e+01
3.47500e+00 -3.21613e+01 8.40656e+00 4.05864e+01 4.05679e+01
3.48000e+00 -3.24641e+01 7.01541e+00 3.94946e+01 3.94795e+01
3.48500e+00 -3.27087e+01 5.51229e+00 3.82024e+01 3.82210e+01
3.49000e+00 -3.29450e+01 3.77734e+00 3.67421e+01 3.67224e+01
3.49500e+00 -3.31942e+01 1.98689e+00 3.51898e+01 3.51811e+01
3.50000e+00 -3.33996e+01 2.80337e-02 3.34094e+01 3.34277e+01
3.50500e+00 -3.36948e+01 -2.07762e+00 3.16149e+01 3.16172e+01
3.51000e+00 -3.39449e+01 -4.28401e+00 2.96787e+01 2.96609e+01
3.51500e+00 -3.42115e+01 -6.65035e+00 2.75546e+01 2.75611e+01
3.52000e+00 -3.44938e+01 -9.10819e+00 2.53869e+01 2.53856e+01
3.52500e+00 -3.46902e+01 -1.17021e+01 2.29954e+01 2.29881e+01
3.53000e+00 -3.49841e+01 -1.43645e+01 2.06139e+01 2.06196e+01
3.53500e+00 -3.51828e+01 -1.71282e+01 1.80553e+01 1.80547e+01
3.54000e+00 -3.54452e+01 -2.00416e+01 1.54241e+01 1.54037e+01
3.54500e+00 -3.57032e+01 -2.28996e+01 1.27992e+01 1.28036e+01
3.55000e+00 -3.59556e+01 -2.59646e+01 9.98094e+00 9.99092e+00
3.55500e+00 -3.62583e+01 -2.89599e+01 7.31099e+00 7.29840e+00
3.56000e+00 -3.64643e+01 -3.20466e+01 4.42002e+00 4.41776e+00
